minUtil: 4804
1373: 13.55: 25560
1292: 12.6: 24642
988: 9.3: 24187
222: 9.33: 22910
272: 13.54: 22678
1426: 9.96: 21692
1161: 10.54: 21540
1045: 9.48: 21090
1012: 11.65: 19861
175: 9.14: 19635
1508: 10.16: 19116
276: 10.37: 18528
278: 9.33: 18480
918: 11.38: 18414
1282: 10.05: 18232
1110: 10.1: 17920
447: 10.23: 17856
246: 9.63: 17655
69: 10.07: 16430
27: 9.44: 16165
1423: 11.75: 16116
449: 9.12: 15867
1516: 9.22: 15792
916: 11.68: 15163
419: 9.29: 14994
520: 10.36: 14840
1464: 9.44: 14800
812: 9.41: 14696
903: 11.62: 14616
435: 9.24: 14433
602: 10.0: 13696
304: 14.23: 13607
1473: 9.4: 13452
640: 9.36: 13209
1118: 9.5: 13178
326: 9.77: 13091
54: 9.51: 12889
890: 9.18: 12789
1291: 9.65: 12642
1308: 9.18: 12642
599: 10.79: 12519
1390: 11.26: 12415
200: 9.8: 12190
1264: 9.35: 11985
634: 11.88: 11881
219: 9.27: 11844
749: 10.03: 11748
1048: 9.43: 11713
1220: 10.18: 11700
1357: 9.1: 11653
308: 10.94: 11554
728: 9.17: 11528
357: 11.97: 11520
73: 9.65: 11184
386: 10.29: 10927
266: 9.29: 10692
1442: 9.99: 10332
1399: 10.11: 10324
1347: 9.71: 9912
718: 10.36: 9741
1315: 10.88: 9612
1257: 9.62: 9505
545: 12.1: 9419
1351: 10.9: 9352
247: 9.52: 9256
382: 9.27: 9072
831: 11.39: 8848
1456: 9.82: 8784
391: 9.95: 8777
311: 9.57: 8600
1439: 10.25: 8400
1293: 12.66: 8352
932: 10.78: 8262
1362: 10.29: 8046
969: 9.33: 7920
1451: 10.9: 7614
617: 11.75: 7527
307: 9.83: 7400
434: 9.33: 7384
1217: 9.21: 7239
404: 11.02: 7000
1224: 9.67: 6944
501: 9.87: 6227
378: 10.08: 5994
1399, 1426: 0.86: 5680
1487: 9.64: 5320
888: 11.38: 5280
=============  TOP-K UFPs v1.20 - STATS =============
 Transactions count from database : 4141
 Candidates count : 228
 Sum utility : 1124279
 Algorithm run time : 2 seconds
 Peak memory usage : 0.04 MB
