minUtil: 4804
1373: 13.55: 25560
1292: 12.6: 24642
988: 9.3: 24187
225: 8.04: 22951
222: 9.33: 22910
272: 13.54: 22678
1426: 9.96: 21692
1161: 10.54: 21540
1045: 9.48: 21090
446: 6.93: 20625
83: 6.68: 20563
1518: 7.94: 20416
1180: 8.06: 19890
1012: 11.65: 19861
175: 9.14: 19635
1380: 7.99: 19548
1368: 7.57: 19525
1497: 7.19: 19406
937: 7.24: 19133
1508: 10.16: 19116
1310: 8.53: 19102
409: 6.42: 18768
941: 8.96: 18565
276: 10.37: 18528
614: 6.1: 18522
278: 9.33: 18480
918: 11.38: 18414
470: 8.96: 18259
1282: 10.05: 18232
702: 6.33: 18048
1110: 10.1: 17920
179: 7.5: 17875
447: 10.23: 17856
246: 9.63: 17655
422: 8.73: 17616
365: 7.45: 17424
1094: 7.26: 17342
49: 7.66: 17238
907: 8.01: 17100
80: 6.92: 17060
508: 8.23: 17055
111: 8.85: 17052
137: 6.61: 17020
1398: 6.86: 17002
1345: 6.17: 16927
502: 8.39: 16801
1493: 7.55: 16632
11: 7.21: 16497
274: 6.55: 16456
69: 10.07: 16430
313: 7.94: 16245
474: 6.15: 16192
530: 6.11: 16168
27: 9.44: 16165
1423: 11.75: 16116
449: 9.12: 15867
532: 6.09: 15867
1516: 9.22: 15792
379: 8.34: 15785
55: 8.72: 15750
1150: 6.02: 15631
1088: 7.34: 15604
832: 7.45: 15552
1159: 6.42: 15498
1077: 8.05: 15455
823: 8.05: 15435
1081: 7.03: 15423
639: 7.03: 15415
323: 6.38: 15400
1049: 6.91: 15327
235: 6.38: 15265
1389: 8.17: 15254
1093: 6.04: 15174
104: 6.89: 15171
916: 11.68: 15163
1136: 6.71: 15162
419: 9.29: 14994
123: 6.4: 14976
464: 8.01: 14952
1336: 6.2: 14916
445: 6.11: 14878
520: 10.36: 14840
189: 7.29: 14835
53: 6.48: 14801
1464: 9.44: 14800
491: 7.17: 14742
330: 6.08: 14726
300: 7.12: 14700
812: 9.41: 14696
1254: 7.73: 14680
903: 11.62: 14616
1076: 6.15: 14580
231: 8.75: 14575
844: 8.48: 14564
1117: 6.93: 14560
1296: 8.6: 14548
418: 7.58: 14536
283: 7.09: 14469
744: 5.96: 14467
281: 8.97: 14465
218: 6.27: 14448
435: 9.24: 14433
1540: 7.59: 14432
695: 6.12: 14432
1278: 6.11: 14382
1348: 8.83: 14326
1251: 8.15: 14320
835: 6.26: 14309
1063: 7.43: 14303
383: 8.89: 14300
811: 7.48: 14256
20: 8.2: 14178
521: 8.02: 14155
153: 7.83: 14144
554: 6.66: 14130
170: 8.45: 14080
28: 6.61: 14076
924: 7.69: 14040
223: 6.97: 14036
863: 8.74: 14006
609: 6.61: 13986
559: 6.48: 13983
556: 7.3: 13975
1104: 8.96: 13965
946: 8.55: 13965
703: 7.98: 13959
136: 6.66: 13932
1099: 6.02: 13932
16: 6.67: 13788
575: 7.44: 13769
1237: 7.68: 13750
602: 10.0: 13696
1070: 7.32: 13689
991: 7.01: 13650
