minUtil: 2156
1. Pattern: ('40', '52'), ExpSup: 800.33, Utility: 290726
2. Pattern: ('40', '48'), ExpSup: 741.87, Utility: 290391
3. Pattern: ('34', '40'), ExpSup: 737.74, Utility: 277239
4. Pattern: ('29', '40'), ExpSup: 792.51, Utility: 255631
5. Pattern: ('40', '60'), ExpSup: 773.52, Utility: 253428
6. Pattern: ('40', '66'), ExpSup: 734.99, Utility: 243649
7. Pattern: ('40', '56'), ExpSup: 746.88, Utility: 243050
8. Pattern: ('40', '7'), ExpSup: 758.2, Utility: 231271
9. Pattern: ('3', '40'), ExpSup: 693.84, Utility: 226522
10. Pattern: ('40', '5'), ExpSup: 718.05, Utility: 223282
11. Pattern: ('40', '72'), ExpSup: 582.56, Utility: 214715
12. Pattern: ('48', '52'), ExpSup: 761.78, Utility: 212460
13. Pattern: ('40', '64'), ExpSup: 671.11, Utility: 212460
14. Pattern: ('40', '58'), ExpSup: 790.04, Utility: 205017
15. Pattern: ('34', '48'), ExpSup: 699.74, Utility: 201383
16. Pattern: ('40', '9'), ExpSup: 704.32, Utility: 200832
17. Pattern: ('36', '40'), ExpSup: 761.32, Utility: 198648
18. Pattern: ('34', '52'), ExpSup: 750.57, Utility: 197472
19. Pattern: ('40', '62'), ExpSup: 764.28, Utility: 197416
20. Pattern: ('31', '40'), ExpSup: 630.06, Utility: 190050
21. Pattern: ('40',), ExpSup: 1579.27, Utility: 188760
22. Pattern: ('17', '40'), ExpSup: 618.04, Utility: 186881
23. Pattern: ('25', '40'), ExpSup: 712.24, Utility: 183618
24. Pattern: ('29', '48'), ExpSup: 744.94, Utility: 179722
25. Pattern: ('48', '60'), ExpSup: 741.31, Utility: 178947
26. Pattern: ('40', '42'), ExpSup: 670.8, Utility: 174811
27. Pattern: ('29', '52'), ExpSup: 802.29, Utility: 172766
28. Pattern: ('48', '66'), ExpSup: 706.37, Utility: 172697
29. Pattern: ('52', '60'), ExpSup: 797.15, Utility: 170582
30. Pattern: ('48', '56'), ExpSup: 700.91, Utility: 169695
31. Pattern: ('40', '44'), ExpSup: 652.34, Utility: 167125
32. Pattern: ('29', '34'), ExpSup: 748.84, Utility: 165212
33. Pattern: ('52', '56'), ExpSup: 776.21, Utility: 164720
34. Pattern: ('52', '66'), ExpSup: 759.17, Utility: 164458
35. Pattern: ('40', '46'), ExpSup: 631.52, Utility: 163761
36. Pattern: ('34', '60'), ExpSup: 732.14, Utility: 162688
37. Pattern: ('3', '48'), ExpSup: 653.87, Utility: 160071
38. Pattern: ('48', '7'), ExpSup: 719.89, Utility: 158110
39. Pattern: ('48', '72'), ExpSup: 558.53, Utility: 158007
40. Pattern: ('34', '66'), ExpSup: 699.99, Utility: 157508
41. Pattern: ('34', '56'), ExpSup: 703.99, Utility: 156636
42. Pattern: ('40', '74'), ExpSup: 621.61, Utility: 155667
43. Pattern: ('52', '72'), ExpSup: 611.88, Utility: 154086
44. Pattern: ('3', '52'), ExpSup: 718.73, Utility: 153244
45. Pattern: ('48', '5'), ExpSup: 684.69, Utility: 151382
46. Pattern: ('52', '7'), ExpSup: 774.06, Utility: 150447
47. Pattern: ('34', '72'), ExpSup: 560.36, Utility: 148908
48. Pattern: ('48', '64'), ExpSup: 636.88, Utility: 148284
49. Pattern: ('3', '34'), ExpSup: 660.29, Utility: 146622
50. Pattern: ('5', '52'), ExpSup: 745.02, Utility: 144276
51. Pattern: ('34', '7'), ExpSup: 731.86, Utility: 143691
52. Pattern: ('52', '64'), ExpSup: 684.06, Utility: 141962
53. Pattern: ('34', '5'), ExpSup: 695.45, Utility: 140856
54. Pattern: ('29', '60'), ExpSup: 777.6, Utility: 136920
55. Pattern: ('34', '64'), ExpSup: 628.05, Utility: 136476
56. Pattern: ('29', '66'), ExpSup: 748.18, Utility: 132172
57. Pattern: ('29', '56'), ExpSup: 757.1, Utility: 132152
58. Pattern: ('60', '66'), ExpSup: 748.87, Utility: 132064
59. Pattern: ('48', '9'), ExpSup: 681.86, Utility: 131587
60. Pattern: ('48', '58'), ExpSup: 753.39, Utility: 131386
61. Pattern: ('56', '60'), ExpSup: 739.43, Utility: 130088
62. Pattern: ('36', '48'), ExpSup: 729.26, Utility: 129898
63. Pattern: ('60', '72'), ExpSup: 589.49, Utility: 129080
64. Pattern: ('66', '72'), ExpSup: 583.0, Utility: 128876
65. Pattern: ('29', '72'), ExpSup: 585.77, Utility: 128596
66. Pattern: ('31', '48'), ExpSup: 587.31, Utility: 128218
67. Pattern: ('17', '48'), ExpSup: 589.75, Utility: 127394
68. Pattern: ('48', '62'), ExpSup: 715.39, Utility: 125379
69. Pattern: ('56', '66'), ExpSup: 708.94, Utility: 125068
70. Pattern: ('52', '9'), ExpSup: 728.24, Utility: 124558
71. Pattern: ('31', '52'), ExpSup: 641.53, Utility: 123555
