minUtil: 2156
1. Pattern: ('40', '48', '52'), ExpSup: 378.53, Utility: 385381
2. Pattern: ('34', '40', '52'), ExpSup: 373.87, Utility: 373506
3. Pattern: ('34', '40', '48'), ExpSup: 347.09, Utility: 366010
4. Pattern: ('29', '40', '52'), ExpSup: 398.51, Utility: 356097
5. Pattern: ('40', '52', '60'), ExpSup: 394.11, Utility: 352926
6. Pattern: ('29', '40', '48'), ExpSup: 366.24, Utility: 351549
7. Pattern: ('40', '48', '60'), ExpSup: 366.71, Utility: 351142
8. Pattern: ('29', '34', '40'), ExpSup: 368.8, Utility: 340850
9. Pattern: ('40', '52', '66'), ExpSup: 373.61, Utility: 339395
10. Pattern: ('40', '52', '56'), ExpSup: 382.07, Utility: 339206
11. Pattern: ('40', '48', '66'), ExpSup: 350.45, Utility: 338147
12. Pattern: ('34', '40', '60'), ExpSup: 363.98, Utility: 336770
13. Pattern: ('40', '48', '56'), ExpSup: 343.29, Utility: 332384
14. Pattern: ('40', '52', '7'), ExpSup: 383.08, Utility: 328740
15. Pattern: ('34', '40', '66'), ExpSup: 343.54, Utility: 325229
16. Pattern: ('40', '48', '7'), ExpSup: 358.06, Utility: 325169
17. Pattern: ('34', '40', '56'), ExpSup: 347.06, Utility: 323388
18. Pattern: ('29', '40', '60'), ExpSup: 384.66, Utility: 318464
19. Pattern: ('40', '5', '52'), ExpSup: 368.71, Utility: 317307
20. Pattern: ('3', '40', '52'), ExpSup: 355.85, Utility: 316103
21. Pattern: ('34', '40', '7'), ExpSup: 363.14, Utility: 314141
22. Pattern: ('40', '48', '5'), ExpSup: 334.82, Utility: 313168
23. Pattern: ('34', '40', '5'), ExpSup: 340.52, Utility: 309466
24. Pattern: ('40', '60', '66'), ExpSup: 368.95, Utility: 307626
25. Pattern: ('29', '40', '66'), ExpSup: 366.11, Utility: 306518
26. Pattern: ('40', '52', '58'), ExpSup: 401.39, Utility: 306482
27. Pattern: ('29', '40', '56'), ExpSup: 373.12, Utility: 305344
28. Pattern: ('40', '48', '58'), ExpSup: 372.95, Utility: 305339
29. Pattern: ('36', '40', '48'), ExpSup: 365.26, Utility: 302368
30. Pattern: ('40', '56', '60'), ExpSup: 361.64, Utility: 302242
31. Pattern: ('40', '52', '64'), ExpSup: 344.21, Utility: 297061
32. Pattern: ('36', '40', '52'), ExpSup: 382.28, Utility: 296932
33. Pattern: ('29', '40', '7'), ExpSup: 381.05, Utility: 296027
34. Pattern: ('40', '52', '62'), ExpSup: 391.2, Utility: 294543
35. Pattern: ('40', '48', '62'), ExpSup: 355.22, Utility: 292743
36. Pattern: ('34', '48', '52'), ExpSup: 354.16, Utility: 292525
37. Pattern: ('34', '40', '58'), ExpSup: 363.03, Utility: 292168
38. Pattern: ('40', '60', '7'), ExpSup: 372.95, Utility: 292006
39. Pattern: ('40', '52', '9'), ExpSup: 354.51, Utility: 291736
40. Pattern: ('40', '52'), ExpSup: 800.33, Utility: 290726
41. Pattern: ('40', '48'), ExpSup: 741.87, Utility: 290391
42. Pattern: ('40', '56', '66'), ExpSup: 345.68, Utility: 289759
43. Pattern: ('40', '48', '9'), ExpSup: 333.15, Utility: 287347
44. Pattern: ('29', '3', '40'), ExpSup: 349.62, Utility: 286024
45. Pattern: ('29', '40', '5'), ExpSup: 363.6, Utility: 285020
46. Pattern: ('3', '40', '60'), ExpSup: 343.11, Utility: 283969
47. Pattern: ('34', '36', '40'), ExpSup: 356.35, Utility: 283053
48. Pattern: ('40', '5', '60'), ExpSup: 354.86, Utility: 281918
49. Pattern: ('40', '56', '7'), ExpSup: 356.93, Utility: 281534
50. Pattern: ('34', '40', '62'), ExpSup: 354.09, Utility: 281448
51. Pattern: ('40', '66', '7'), ExpSup: 356.33, Utility: 280872
52. Pattern: ('34', '40', '9'), ExpSup: 329.06, Utility: 280134
53. Pattern: ('25', '40', '48'), ExpSup: 341.13, Utility: 278431
54. Pattern: ('34', '40'), ExpSup: 737.74, Utility: 277239
55. Pattern: ('29', '48', '52'), ExpSup: 375.92, Utility: 275331
56. Pattern: ('48', '52', '60'), ExpSup: 380.75, Utility: 274296
57. Pattern: ('25', '40', '52'), ExpSup: 360.35, Utility: 274053
58. Pattern: ('3', '40', '56'), ExpSup: 330.81, Utility: 273313
59. Pattern: ('40', '5', '66'), ExpSup: 342.67, Utility: 273294
60. Pattern: ('29', '40', '58'), ExpSup: 394.99, Utility: 271369
61. Pattern: ('40', '5', '56'), ExpSup: 336.96, Utility: 269887
62. Pattern: ('40', '58', '60'), ExpSup: 388.41, Utility: 269050
63. Pattern: ('29', '40', '64'), ExpSup: 331.62, Utility: 266511
64. Pattern: ('3', '40', '7'), ExpSup: 334.17, Utility: 264949
65. Pattern: ('48', '52', '66'), ExpSup: 355.61, Utility: 264760
66. Pattern: ('40', '60', '64'), ExpSup: 328.25, Utility: 264256
67. Pattern: ('29', '36', '40'), ExpSup: 380.42, Utility: 262915
68. Pattern: ('29', '34', '52'), ExpSup: 371.35, Utility: 262342
69. Pattern: ('29', '34', '48'), ExpSup: 346.92, Utility: 262181
70. Pattern: ('29', '40', '62'), ExpSup: 385.97, Utility: 261394
71. Pattern: ('40', '42', '52'), ExpSup: 337.93, Utility: 261174
72. Pattern: ('25', '34', '40'), ExpSup: 332.12, Utility: 261074
73. Pattern: ('48', '52', '56'), ExpSup: 359.94, Utility: 260814
74. Pattern: ('40', '5', '7'), ExpSup: 350.04, Utility: 260802
75. Pattern: ('36', '40', '60'), ExpSup: 371.29, Utility: 260533
76. Pattern: ('29', '40', '9'), ExpSup: 349.89, Utility: 260444
77. Pattern: ('34', '48', '60'), ExpSup: 344.69, Utility: 260236
78. Pattern: ('40', '60', '62'), ExpSup: 377.86, Utility: 259047
79. Pattern: ('40', '58', '66'), ExpSup: 366.0, Utility: 258753
80. Pattern: ('34', '52', '60'), ExpSup: 370.22, Utility: 258390
81. Pattern: ('40', '60', '9'), ExpSup: 341.3, Utility: 258082
82. Pattern: ('40', '56', '58'), ExpSup: 375.29, Utility: 257871
83. Pattern: ('29', '40'), ExpSup: 792.51, Utility: 255631
84. Pattern: ('40', '60'), ExpSup: 773.52, Utility: 253428
85. Pattern: ('34', '48', '66'), ExpSup: 329.39, Utility: 252253
86. Pattern: ('40', '56', '9'), ExpSup: 332.83, Utility: 251114
87. Pattern: ('40', '56', '62'), ExpSup: 362.9, Utility: 251027
88. Pattern: ('48', '52', '7'), ExpSup: 361.8, Utility: 250826
89. Pattern: ('34', '52', '66'), ExpSup: 351.76, Utility: 250124
90. Pattern: ('36', '40', '66'), ExpSup: 352.71, Utility: 250117
91. Pattern: ('34', '52', '56'), ExpSup: 354.95, Utility: 249452
92. Pattern: ('36', '40', '56'), ExpSup: 360.84, Utility: 249345
93. Pattern: ('40', '62', '66'), ExpSup: 357.52, Utility: 248474
94. Pattern: ('40', '58', '7'), ExpSup: 379.34, Utility: 246553
95. Pattern: ('3', '48', '52'), ExpSup: 336.1, Utility: 245403
96. Pattern: ('40', '66'), ExpSup: 734.99, Utility: 243649
97. Pattern: ('25', '29', '40'), ExpSup: 364.14, Utility: 243096
98. Pattern: ('40', '56'), ExpSup: 746.88, Utility: 243050
99. Pattern: ('25', '40', '60'), ExpSup: 354.31, Utility: 242299
100. Pattern: ('29', '48', '60'), ExpSup: 365.55, Utility: 241763
101. Pattern: ('3', '40', '58'), ExpSup: 351.51, Utility: 240548
102. Pattern: ('48', '5', '52'), ExpSup: 351.57, Utility: 240306
103. Pattern: ('36', '40', '7'), ExpSup: 366.47, Utility: 238719
104. Pattern: ('34', '48', '7'), ExpSup: 341.77, Utility: 238288
105. Pattern: ('40', '5', '58'), ExpSup: 359.72, Utility: 237980
106. Pattern: ('34', '52', '7'), ExpSup: 367.47, Utility: 237717
107. Pattern: ('29', '52', '60'), ExpSup: 394.42, Utility: 237130
108. Pattern: ('40', '62', '7'), ExpSup: 362.59, Utility: 236980
109. Pattern: ('40', '7', '9'), ExpSup: 332.57, Utility: 236589
110. Pattern: ('48', '60', '66'), ExpSup: 357.8, Utility: 234159
111. Pattern: ('29', '48', '66'), ExpSup: 352.05, Utility: 233604
112. Pattern: ('34', '5', '52'), ExpSup: 349.39, Utility: 233205
113. Pattern: ('3', '34', '52'), ExpSup: 337.16, Utility: 233176
114. Pattern: ('25', '40', '66'), ExpSup: 334.07, Utility: 232894
115. Pattern: ('3', '36', '40'), ExpSup: 336.76, Utility: 232657
116. Pattern: ('3', '40', '62'), ExpSup: 335.04, Utility: 232289
117. Pattern: ('40', '7'), ExpSup: 758.2, Utility: 231271
118. Pattern: ('29', '40', '42'), ExpSup: 333.59, Utility: 231053
119. Pattern: ('40', '42', '60'), ExpSup: 331.65, Utility: 230511
120. Pattern: ('36', '40', '5'), ExpSup: 349.02, Utility: 230337
121. Pattern: ('25', '40', '56'), ExpSup: 334.98, Utility: 230132
122. Pattern: ('40', '5', '62'), ExpSup: 348.54, Utility: 230098
123. Pattern: ('29', '48', '56'), ExpSup: 347.72, Utility: 229424
124. Pattern: ('52', '60', '66'), ExpSup: 382.65, Utility: 228982
125. Pattern: ('29', '52', '56'), ExpSup: 385.86, Utility: 228802
126. Pattern: ('29', '52', '66'), ExpSup: 379.66, Utility: 228708
127. Pattern: ('48', '56', '60'), ExpSup: 343.75, Utility: 228152
128. Pattern: ('48', '52', '58'), ExpSup: 382.36, Utility: 228022
129. Pattern: ('48', '52', '64'), ExpSup: 327.0, Utility: 227891
130. Pattern: ('29', '34', '60'), ExpSup: 363.54, Utility: 226730
131. Pattern: ('3', '40'), ExpSup: 693.84, Utility: 226522
132. Pattern: ('52', '56', '60'), ExpSup: 382.78, Utility: 225700
133. Pattern: ('36', '48', '52'), ExpSup: 365.23, Utility: 225653
134. Pattern: ('40', '58', '64'), ExpSup: 330.59, Utility: 225474
135. Pattern: ('40', '5'), ExpSup: 718.05, Utility: 223282
136. Pattern: ('25', '40', '7'), ExpSup: 340.06, Utility: 220259
137. Pattern: ('29', '48', '7'), ExpSup: 358.48, Utility: 220074
138. Pattern: ('48', '56', '66'), ExpSup: 328.08, Utility: 219477
139. Pattern: ('29', '34', '66'), ExpSup: 349.0, Utility: 219322
140. Pattern: ('34', '60', '66'), ExpSup: 350.38, Utility: 219294
141. Pattern: ('29', '34', '56'), ExpSup: 350.56, Utility: 218538
142. Pattern: ('48', '60', '7'), ExpSup: 354.88, Utility: 217948
143. Pattern: ('48', '52', '9'), ExpSup: 344.15, Utility: 217428
144. Pattern: ('48', '52', '62'), ExpSup: 361.55, Utility: 217175
145. Pattern: ('52', '56', '66'), ExpSup: 364.16, Utility: 216840
146. Pattern: ('29', '52', '7'), ExpSup: 383.56, Utility: 216491
147. Pattern: ('34', '48', '58'), ExpSup: 343.86, Utility: 216146
148. Pattern: ('40', '58', '9'), ExpSup: 351.7, Utility: 215154
149. Pattern: ('34', '56', '60'), ExpSup: 346.2, Utility: 214932
150. Pattern: ('40', '72'), ExpSup: 582.56, Utility: 214715
151. Pattern: ('36', '40', '58'), ExpSup: 383.8, Utility: 214341
152. Pattern: ('34', '36', '48'), ExpSup: 340.27, Utility: 214182
153. Pattern: ('29', '3', '52'), ExpSup: 357.23, Utility: 213986
154. Pattern: ('34', '52', '58'), ExpSup: 369.79, Utility: 213085
155. Pattern: ('40', '58', '62'), ExpSup: 383.06, Utility: 212854
156. Pattern: ('52', '60', '7'), ExpSup: 382.28, Utility: 212686
157. Pattern: ('48', '52'), ExpSup: 761.78, Utility: 212460
158. Pattern: ('40', '64'), ExpSup: 671.11, Utility: 212460
159. Pattern: ('3', '52', '60'), ExpSup: 353.2, Utility: 211774
160. Pattern: ('48', '66', '7'), ExpSup: 343.58, Utility: 210585
